f1,f2
0.6624,1.5097
0.1000,10.7134
0.6191,1.6471
0.1707,6.4865
0.1000,11.1789
0.3437,2.9097
0.7128,1.5184
0.1242,8.4598
0.3000,3.3338
0.8362,1.4799
0.3200,3.4137
0.2634,3.7965
0.1000,10.8913
0.9692,1.2043
0.9469,1.0560
0.5083,2.2975
0.3246,3.8227
0.5765,1.7346
0.4868,2.0938
1.0000,1.0372
0.2398,4.1706
0.6166,1.6217
0.4191,3.2033
0.1000,11.1934
0.5152,2.2375
0.4891,2.4951
1.0000,1.0601
0.4508,2.3740
0.7074,1.5623
0.1000,10.3949
0.2614,4.2485
0.3314,3.4938
0.5804,1.8433
0.6714,1.4893
0.6194,1.6146
0.1863,6.0999
0.1626,6.1517
0.3723,2.9765
0.7001,1.4284
0.5018,1.9928
0.1505,6.6435
0.3861,2.8493
0.1433,6.9769
0.2044,4.8924
0.9737,1.1311
0.9534,1.2468
0.3730,3.2224
1.0000,1.0383
0.6944,1.4402
1.0000,1.0000
0.6229,1.8660
0.7857,1.3018
0.1686,6.2723
0.5192,2.2440
0.4329,2.3102
0.9138,1.0943
0.2427,4.1911
0.2121,4.9214
0.5121,1.9529
0.7770,1.4022
0.4435,2.9622
0.1000,12.5363
0.4084,2.4485
0.3082,3.3869
0.5515,1.8133
0.8100,1.2346
0.5330,2.2197
0.6669,1.6174
0.2210,5.2841
0.1000,10.4718
0.3030,3.3001
0.4804,2.2324
0.4651,2.1555
0.7224,1.4509
0.5763,1.7840
0.7043,1.5867
0.1852,5.4404
0.8528,1.1727
0.1442,7.9465
0.9771,1.1170
1.0000,1.2460
1.0000,1.0352
0.3409,3.3541
0.8261,1.2106
0.5323,2.1566
0.1000,10.0000
0.1520,6.5805
0.4888,2.2562
0.1000,11.9962
0.4049,2.7663
0.7646,1.3079
0.8200,1.3140
0.7330,1.3642
0.4621,2.1638
0.3770,2.6527
0.9365,1.0678
0.1146,9.8651
0.7904,1.4633
0.7034,1.5224
0.2746,4.3714
0.1000,10.0000
0.1000,12.1063
0.5315,1.8814
0.9545,1.0477
0.5656,1.9290
0.2330,4.2912
0.2854,3.5044
0.3776,3.0699
0.1000,12.8691
0.4133,2.4627
0.8240,1.2137
0.6518,1.6232
0.6632,1.6733
0.5607,1.7836
0.3787,3.6662
0.6589,1.6996
0.5666,2.3453
1.0000,1.0000
0.3982,2.7326
0.1008,9.9165
0.5971,1.7317
0.5508,1.8623
0.5277,1.8950
0.1000,13.2861
0.6523,2.0266
0.9326,1.0723
0.7830,1.4287
0.2769,3.6829
0.6605,1.9189
0.5179,2.3149
0.5154,1.9402
0.4336,2.3063
0.8404,1.1899
0.3276,3.3091
0.3816,2.6203
0.6006,2.2027
1.0000,1.0000
0.5150,1.9417
1.0000,1.0215
0.7676,1.3147
0.1716,6.3199
0.1000,11.1501
0.7738,1.3913
1.0000,1.1161
0.1975,5.1366
0.9488,1.2068
0.9901,1.0703
0.1000,10.5693
0.5965,1.8589
0.5046,2.0679
0.8129,1.2970
0.5278,2.5584
1.0000,1.0000
0.2506,5.0362
0.1032,9.6899
0.6354,1.5738
0.7096,1.8174
0.9438,1.0922
0.5271,2.3744
0.3080,3.2464
0.2750,3.6362
0.1546,8.0012
0.9680,1.3891
0.7411,1.5305
0.8721,1.1467
0.1539,6.5878
0.2325,4.7743
0.1000,10.0000
0.4827,2.0715
0.9608,1.0408
0.1000,13.7994
0.5078,2.0139
0.4043,3.0412
0.5811,1.8508
0.7570,1.3210
0.8972,1.1378
0.1000,10.9914
0.1769,5.6539
0.2601,4.2517
0.5981,1.7136
1.0000,1.0300
1.0000,1.2074
1.0000,1.0203
0.6562,1.6429
0.4863,2.0565
0.4149,2.6938
0.2731,4.7815
0.7507,1.4174
0.1623,6.8270
0.3992,2.6732
0.7165,1.3956
0.7541,1.7595
0.7521,1.7333
0.3137,3.6517
0.8237,1.3591
0.3168,4.5128
0.5573,1.9661
0.6931,1.4428
0.1000,11.4109
0.1000,10.0000
